a,a.size,a.eff,b,b.size,b.eff,(a-b).size,(a-b).eff
mysql-dockerfile-5.7-Dockerfile.debian,448184327,0.984971306236686,mysql-modus-5.7-debian-buster-amd64,448197841,0.984941721305614,13514,2.95849310717466E-05
mysql-dockerfile-5.7-Dockerfile.oracle,406851804,0.935598931251144,mysql-modus-5.7-oracle-7-slim-amd64,406865310,0.935567989318136,13506,3.09419330084548E-05
mysql-dockerfile-8.0-Dockerfile.debian,519304160,0.986926484471066,mysql-modus-8.0-debian-buster-amd64,519317671,0.98690090020064,13511,2.55842704256493E-05
mysql-dockerfile-8.0-Dockerfile.oracle,433141041,0.937837151294098,mysql-modus-8.0-oracle-8-slim-amd64,433154552,0.93780800899906,13511,2.91422950372544E-05
nginx-dockerfile-mainline_alpine-Dockerfile,23415116,0.985592981901093,nginx-modus-mainline-alpine-false,23415177,0.985593019433507,61,-3.75324133994326E-08
nginx-dockerfile-mainline_alpine-perl-Dockerfile,58431626,0.992742577452833,nginx-modus-mainline-alpine-true,58431687,0.99274258502925,61,-7.57641616111471E-09
nginx-dockerfile-mainline_debian-Dockerfile,141481670,0.985516667989571,nginx-modus-mainline-debian-false,141481731,0.985516674234075,61,-6.244504024977E-09
nginx-dockerfile-mainline_debian-perl-Dockerfile,187584740,0.988726449710142,nginx-modus-mainline-debian-true,187584801,0.988726453376145,61,-3.66600361179081E-09
nginx-dockerfile-stable_alpine-Dockerfile,23144042,0.985422122894523,nginx-modus-stable-alpine-false,23144103,0.985422161316859,61,-3.84223360905267E-08
nginx-dockerfile-stable_alpine-perl-Dockerfile,57799154,0.992671709347164,nginx-modus-stable-alpine-true,57799215,0.992671717081279,61,-7.73411412691161E-09
nginx-dockerfile-stable_debian-Dockerfile,141446014,0.985513441191775,nginx-modus-stable-debian-false,141446075,0.985513447439245,61,-6.24746987476499E-09
nginx-dockerfile-stable_debian-perl-Dockerfile,187549084,0.988724626349015,nginx-modus-stable-debian-true,187549145,0.988724630016309,61,-3.66729369094543E-09
node-dockerfile-12_alpine3.14-Dockerfile,91035864,0.994809825718796,node-modus-12.22.10-alpine3.14-amd64-1.22.17,91035902,0.994809827885267,38,-2.16647078055132E-09
node-dockerfile-12_alpine3.15-Dockerfile,91016514,0.994807293981837,node-modus-12.22.10-alpine3.15-amd64-1.22.17,91016552,0.994807296149826,38,-2.16798834440368E-09
node-dockerfile-12_bullseye-Dockerfile,916168375,0.99097446580166,node-modus-12.22.10-bullseye-amd64-1.22.17,913898845,0.99095205224819,2269530,2.24135534705461E-05
node-dockerfile-12_bullseye-slim-Dockerfile,166487641,0.9754152321733,node-modus-12.22.10-bullseye-slim-amd64-1.22.17,164218111,0.975075465336463,2269530,0.000339766836836453
node-dockerfile-12_buster-Dockerfile,886175805,0.990542733222106,node-modus-12.22.10-buster-amd64-1.22.17,883906275,0.990518450612877,2269530,2.42826092284876E-05
node-dockerfile-12_buster-slim-Dockerfile,155195352,0.974857101390511,node-modus-12.22.10-buster-slim-amd64-1.22.17,152925822,0.974483962558004,2269530,0.00037313883250667
node-dockerfile-12_stretch-Dockerfile,917599525,0.990667246694575,node-modus-12.22.10-stretch-amd64-1.22.17,915329995,0.990644106446004,2269530,2.31402485715293E-05
node-dockerfile-12_stretch-slim-Dockerfile,141462521,0.972232390796994,node-modus-12.22.10-stretch-slim-amd64-1.22.17,139192991,0.971779642266614,2269530,0.000452748530380354
node-dockerfile-14_alpine3.14-Dockerfile,118880589,0.996025490755265,node-modus-14.19.0-alpine3.14-amd64-1.22.17,118880627,0.996025492025711,38,-1.27044541553545E-09
node-dockerfile-14_alpine3.15-Dockerfile,118861247,0.996023750280863,node-modus-14.19.0-alpine3.15-amd64-1.22.17,118861277,0.996023751284449,30,-1.003585770043E-09
node-dockerfile-14_bullseye-Dockerfile,943977292,0.99124035178592,node-modus-14.19.0-bullseye-amd64-1.22.17,941707746,0.991219240751578,2269546,2.11110343416587E-05
node-dockerfile-14_bullseye-slim-Dockerfile,194296558,0.978933955175881,node-modus-14.19.0-bullseye-slim-amd64-1.22.17,192027012,0.978684977923835,2269546,0.000248977252046201
